year,Ethiopia | gdp_growth_pct,Ethiopia | private_consumption_growth_pct,Ethiopia | unemployment_total_pct,Ethiopia | unemployment_youth_pct,Kenya | gdp_growth_pct,Kenya | private_consumption_growth_pct,Kenya | unemployment_total_pct,Kenya | unemployment_youth_pct,Rwanda | gdp_growth_pct,Rwanda | private_consumption_growth_pct,Rwanda | unemployment_total_pct,Rwanda | unemployment_youth_pct,Tanzania | gdp_growth_pct,Tanzania | private_consumption_growth_pct,Tanzania | unemployment_total_pct,Tanzania | unemployment_youth_pct
1961,,,,,-7.77463490371655,1.24640255723965,,,-4.2975260472235,-4.14849178978274,,,1.13829635143543,,,
1962,4.32609133566669,,,,9.45735874072126,7.99120033637755,,,11.3337983684303,15.8623005453737,,,9.09674738431541,,,
1963,4.51863392606097,,,,8.77834021621184,0.123753776752238,,,-9.82044441324079,-6.62696744576189,,,6.26000305958226,,,
1964,4.090485611454,,,,4.96446728844091,6.91067763094217,,,-12.4649926826469,-18.8634696001299,,,5.51115870033439,,,
1965,5.77193201591967,,,,2.00909417103099,7.92760427454111,,,7.00952925499003,6.18954553446058,,,4.3647206714603,,,
1966,7.25659803697334,,,,14.7285664015687,7.91184536030222,,,7.00891082281643,9.70332244095422,,,11.6436755317812,,,
1967,4.06158788001341,,,,3.36123203258556,5.3249982069475,,,6.91601750997981,9.20433428875396,,,5.52325857922256,,,
1968,4.14218784379452,,,,7.9826899693479,-9.57936901610825,,,7.01378092757932,8.97300744199558,,,6.28556212963629,,,
1969,1.38865740774845,,,,7.9592244594956,3.01787270651658,,,11.0073701491935,13.1593954292756,,,3.26163984438857,,,
1970,3.48272874063242,,,,-4.65544691647621,-9.52414179997396,,,6.00142524647711,2.77968109572657,,,-46.4330351414871,,,
1971,6.52647616372386,,,,22.1738919255764,44.9427098681007,,,1.20664070130975,0.36957884072693,,,3.90146077101619,,,
1972,4.22715958999208,,,,17.082429349983,13.1392007953135,,,0.263068266748533,-4.9625157225238,,,7.11531519183237,,,
1973,5.10986950748782,,,,5.89658021016672,-6.56797847805748,,,3.43808814067388,-2.76435317655468,,,6.19196242050393,,,
1974,3.27365832432511,,,,4.06561734893735,14.9553880604952,,,1.40982357375073,4.08674446401314,,,2.11339071824315,,,
1975,1.24613171483642,,,,0.882203175319148,-1.95901344096046,,,-2.11382542445206,-10.7600814123805,,,3.98942559802084,,,
1976,0.148810316081267,,,,2.15396450322561,-5.15785947383037,,,19.5045771724679,17.4311140625505,,,3.30601216563538,,,
1977,2.72568162583839,,,,9.45379784408087,8.50264751758785,,,1.99410948126506,4.9777484420334,,,0.0495928503172962,,,
1978,2.74000633157128,,,,6.91249354626197,14.4039865168048,,,9.15084081575202,12.6720030992553,,,2.08400760208103,,,
1979,-1.10076369425465,,,,7.61522604591983,4.01005359241483,,,11.8699080379505,16.811804714338,,,2.50017391682478,,,
1980,6.42416616401589,,,,5.5919762059677,2.49126871527329,,,8.95161232959185,8.28612811342806,,,2.73797995142824,,,
1981,4.38154812543456,,,,3.77354419402822,-3.74171448734687,,,5.43619947877278,1.66372921572264,,,-0.978820953022364,,,
