year,gdp_growth_pct,private_consumption_growth_pct,unemployment_total_pct,unemployment_youth_pct
1961,-7.77463490371655,1.24640255723965,,
1962,9.45735874072126,7.99120033637755,,
1963,8.77834021621184,0.123753776752238,,
1964,4.96446728844091,6.91067763094217,,
1965,2.00909417103099,7.92760427454111,,
1966,14.7285664015687,7.91184536030222,,
1967,3.36123203258556,5.3249982069475,,
1968,7.9826899693479,-9.57936901610825,,
1969,7.9592244594956,3.01787270651658,,
1970,-4.65544691647621,-9.52414179997396,,
1971,22.1738919255764,44.9427098681007,,
1972,17.082429349983,13.1392007953135,,
1973,5.89658021016672,-6.56797847805748,,
1974,4.06561734893735,14.9553880604952,,
1975,0.882203175319148,-1.95901344096046,,
1976,2.15396450322561,-5.15785947383037,,
1977,9.45379784408087,8.50264751758785,,
1978,6.91249354626197,14.4039865168048,,
1979,7.61522604591983,4.01005359241483,,
1980,5.5919762059677,2.49126871527329,,
1981,3.77354419402822,-3.74171448734687,,
1982,1.50647825757706,3.15880930039198,,
1983,1.3090502411486,-3.25741215350349,,
1984,1.75521697703473,7.93172271524189,,
1985,4.30056181879613,-6.82066839073163,,
1986,7.17755539065963,19.0137861970057,,
1987,5.93710744420895,8.67383456064914,,
1988,6.20318382314591,8.49098922214506,,
1989,4.69034876792047,5.93595767624568,,
1990,4.19205097155167,-0.290250118056193,,
1991,1.43834679171559,2.40269907080346,2.78,6.209
1992,-0.799493958641349,-1.02025957192564,2.894,6.465
1993,0.353197256227247,-1.5438654662327,2.979,6.667
1994,2.632784517837,1.82241565755825,2.955,6.67
1995,4.40621652482287,14.0007215421948,2.848,6.513
1996,4.14683926876013,2.59876793380154,2.773,6.411
1997,0.474901921293579,3.82105894007299,2.818,6.536
1998,3.29021372249065,4.57768230869955,2.843,6.62
1999,2.30538859522412,4.09898223281637,2.884,6.736
2000,0.599695390807426,-0.383022773245003,2.884,6.763
2001,3.77990649795343,4.14772734653029,2.876,6.778
2002,0.546859530175595,0.843318429239346,2.916,6.885
2003,2.93247554570904,2.20268030860215,2.869,6.829
2004,5.10429977629738,2.41994762408066,2.844,6.818
2005,5.90666607980057,6.46642969189901,2.739,6.654
2006,6.47249430015484,9.92487153475959,2.673,6.571
2007,6.85072976998784,5.29580285340012,2.642,6.561
2008,0.232282744812977,-1.51901516510466,2.751,6.839
2009,3.30693981631089,4.58906527400642,2.816,7.03
2010,8.05847360290906,4.96969696969698,2.793,7.049
2011,5.1211061197056,4.94226327944574,2.699,6.924
2012,4.56867961444982,4.35739436619717,2.678,6.945
2013,3.7978483925754,6.19991564740616,2.762,7.183
2014,5.02011100232484,4.20969023034155,2.767,7.253
2015,4.96772112759767,5.79935213414635,2.762,7.299
2016,4.21351706814744,4.50386593064198,2.757,7.333
2017,3.83795817364721,4.91045598833205,3.542,9.097
2018,5.64794640709219,4.7297576676153,4.284,10.818
2019,5.11415885767801,5.00090160994786,5.014,12.547
2020,-0.272766327438816,-1.83110965310708,5.613,13.619
2021,7.59048947333467,6.05567337902859,5.693,12.232
2022,4.85998104287999,2.33653817457203,5.565,15.488
2023,5.71999241214208,7.52336553425963,5.409,15.164
2024,4.72473994710138,6.92414507499066,5.487,15.477
