year,indicator,value
1983,unemployment_total_pct,
1984,unemployment_total_pct,
1985,unemployment_total_pct,
1986,unemployment_total_pct,
1987,unemployment_total_pct,
1988,unemployment_total_pct,
1989,unemployment_total_pct,
1990,unemployment_total_pct,
1991,unemployment_total_pct,2.78
1992,unemployment_total_pct,2.894
1993,unemployment_total_pct,2.979
1994,unemployment_total_pct,2.955
1995,unemployment_total_pct,2.848
1996,unemployment_total_pct,2.773
1997,unemployment_total_pct,2.818
1998,unemployment_total_pct,2.843
1999,unemployment_total_pct,2.884
2000,unemployment_total_pct,2.884
2001,unemployment_total_pct,2.876
2002,unemployment_total_pct,2.916
2003,unemployment_total_pct,2.869
2004,unemployment_total_pct,2.844
2005,unemployment_total_pct,2.739
2006,unemployment_total_pct,2.673
2007,unemployment_total_pct,2.642
2008,unemployment_total_pct,2.751
2009,unemployment_total_pct,2.816
2010,unemployment_total_pct,2.793
2011,unemployment_total_pct,2.699
2012,unemployment_total_pct,2.678
2013,unemployment_total_pct,2.762
2014,unemployment_total_pct,2.767
2015,unemployment_total_pct,2.762
2016,unemployment_total_pct,2.757
2017,unemployment_total_pct,3.542
2018,unemployment_total_pct,4.284
2019,unemployment_total_pct,5.014
2020,unemployment_total_pct,5.613
2021,unemployment_total_pct,5.693
2022,unemployment_total_pct,5.565
2023,unemployment_total_pct,5.409
2024,unemployment_total_pct,5.487
1960,unemployment_youth_pct,
1961,unemployment_youth_pct,
1962,unemployment_youth_pct,
1963,unemployment_youth_pct,
1964,unemployment_youth_pct,
1965,unemployment_youth_pct,
1966,unemployment_youth_pct,
1967,unemployment_youth_pct,
1968,unemployment_youth_pct,
1969,unemployment_youth_pct,
1970,unemployment_youth_pct,
1971,unemployment_youth_pct,
1972,unemployment_youth_pct,
1973,unemployment_youth_pct,
1974,unemployment_youth_pct,
1975,unemployment_youth_pct,
1976,unemployment_youth_pct,
1977,unemployment_youth_pct,
1978,unemployment_youth_pct,
1979,unemployment_youth_pct,
1980,unemployment_youth_pct,
1981,unemployment_youth_pct,
1982,unemployment_youth_pct,
1983,unemployment_youth_pct,
1984,unemployment_youth_pct,
1985,unemployment_youth_pct,
1986,unemployment_youth_pct,
1987,unemployment_youth_pct,
1988,unemployment_youth_pct,
1989,unemployment_youth_pct,
1990,unemployment_youth_pct,
1991,unemployment_youth_pct,6.209
1992,unemployment_youth_pct,6.465
1993,unemployment_youth_pct,6.667
1994,unemployment_youth_pct,6.67
1995,unemployment_youth_pct,6.513
1996,unemployment_youth_pct,6.411
1997,unemployment_youth_pct,6.536
1998,unemployment_youth_pct,6.62
1999,unemployment_youth_pct,6.736
2000,unemployment_youth_pct,6.763
2001,unemployment_youth_pct,6.778
2002,unemployment_youth_pct,6.885
2003,unemployment_youth_pct,6.829
2004,unemployment_youth_pct,6.818
2005,unemployment_youth_pct,6.654
2006,unemployment_youth_pct,6.571
2007,unemployment_youth_pct,6.561
2008,unemployment_youth_pct,6.839
2009,unemployment_youth_pct,7.03
2010,unemployment_youth_pct,7.049
2011,unemployment_youth_pct,6.924
