date,household_stress_index,digital_spend_index,jobs_interest_index,unga,maize flour,fuel price,rent,loan,internet bundles,safaricom bundles,smartphone price,laptop price,jobs in kenya,vacancies,BrighterMonday
2025-03-30,9.844559585492226,39.25233644859813,27.551020408163268,5,4,7,16,64,1,40,17,63,60,33,0
2025-04-06,10.880829015544045,39.25233644859813,33.673469387755105,6,4,5,16,67,0,52,0,69,62,37,0
2025-04-13,11.398963730569948,25.233644859813083,33.673469387755105,6,4,7,16,66,0,47,0,59,60,39,0
2025-04-20,11.917098445595855,29.906542056074763,31.6326530612245,6,5,5,16,68,0,43,0,68,63,33,1
2025-04-27,14.507772020725387,21.49532710280374,37.75510204081633,7,4,6,17,71,0,40,0,62,64,39,0
2025-05-04,22.279792746113987,15.887850467289718,50.000000000000014,8,19,7,17,69,0,44,0,52,69,46,0
2025-05-11,16.580310880829018,28.037383177570092,43.87755102040817,6,7,8,18,70,0,44,0,65,65,43,1
2025-05-18,16.580310880829018,49.532710280373834,35.71428571428571,8,6,5,17,73,0,46,0,86,64,36,1
2025-05-25,17.616580310880824,24.299065420560748,40.81632653061226,6,6,6,17,76,0,38,0,67,65,40,1
2025-06-01,19.689119170984455,26.168224299065418,30.612244897959183,6,5,6,18,80,0,40,0,67,63,33,0
2025-06-08,20.725388601036265,15.887850467289718,39.79591836734694,7,5,8,17,80,0,39,0,57,64,41,0
2025-06-15,20.20725388601036,35.51401869158878,31.6326530612245,7,5,8,19,77,0,50,0,67,62,35,0
2025-06-22,12.953367875647665,48.598130841121495,13.265306122448978,5,4,5,18,70,0,63,0,68,49,29,1
2025-06-29,18.652849740932645,21.49532710280374,25.510204081632654,7,4,7,16,79,0,40,0,62,58,33,0
2025-07-06,23.834196891191713,34.57943925233645,33.673469387755105,7,5,6,16,89,1,50,0,65,64,34,1
2025-07-13,29.01554404145078,41.1214953271028,33.673469387755105,8,5,14,16,90,0,42,12,69,62,36,1
2025-07-20,25.90673575129533,42.05607476635514,36.734693877551024,7,5,8,19,88,0,46,0,78,63,38,1
2025-07-27,23.316062176165797,32.71028037383177,22.448979591836732,8,5,7,17,85,0,49,0,65,56,32,0
2025-08-03,21.24352331606218,36.44859813084112,24.48979591836735,6,5,7,16,84,0,55,0,63,56,34,0
2025-08-10,24.352331606217618,43.925233644859816,19.387755102040813,7,3,8,17,89,0,39,0,87,54,31,0
2025-08-17,22.279792746113987,37.38317757009346,22.448979591836732,7,3,6,15,89,0,53,0,66,54,34,0
2025-08-24,22.279792746113987,23.364485981308412,27.551020408163268,7,5,5,16,87,0,40,0,64,58,35,0
2025-08-31,31.088082901554397,32.71028037383177,29.59183673469388,8,6,7,16,100,0,44,0,70,61,34,0
2025-09-07,18.13471502590673,36.44859813084112,30.612244897959183,8,4,5,15,80,0,41,0,77,63,33,0
2025-09-14,17.616580310880824,16.822429906542055,29.59183673469388,11,4,7,15,74,0,41,0,56,56,38,1
2025-09-21,22.797927461139896,18.69158878504673,31.6326530612245,22,5,6,16,72,0,42,0,57,59,38,0
